#### UTF-8 
#### 外国人名，中英对照的，大约有4万个
#### 共39687条
#### 来源维基百科(wikipedia), https://github.com/beifeng600

克利斯登·奈加特	Kristen Nygaard
艾迪·亚当斯	Eddie Adams (photographer)
桑德罗·波提切利	Sandro Botticelli
埃德蒙·伯克	Edmund Burke
伊利亚·叶菲莫维奇·列宾	Ilya Repin
格奥尔格·弗里德里希·亨德尔	George Frideric Handel
彼得·保羅·魯本斯	Peter Paul Rubens
马克西姆·高尔基	Maxim Gorky
理查·克伦威尔	Richard Cromwell
克莱门特·艾德礼	Clement Attlee
纳吉布·馬哈福茲	Naguib Mahfouz
雅沙·海飞兹	Jascha Heifetz
弗朗茨·李斯特	Franz Liszt
保罗·高更	Paul Gauguin
克洛德·莫奈	Claude Monet
克劳德·莫奈	Claude Monet
爱德华·馬奈	Édouard Manet
爱德华·马奈	Édouard Manet
弗朗西斯科·戈雅	Francisco Goya
爱娃·勃劳恩	Eva Braun
乔治·華盛頓	George Washington
阿布·穆萨布·扎卡维	Abu Musab al-Zarqawi
席琳·狄翁	Celine Dion
阿图尔·鲁宾斯坦	Arthur Rubinstein
玛丽·居里	Marie Curie
尼古拉·马基雅维利	Niccolò Machiavelli
卡米耶·畢沙羅	Camille Pissarro
乔治·秀拉	Georges Seurat
乔治·修拉	Georges Seurat
卡米尔·毕沙罗	Camille Pissarro
弗洛伦斯·南丁格尔	Florence Nightingale
莱奥·德利布	Léo Delibes
皮耶-奧古斯特·雷諾瓦	Pierre-Auguste Renoir
皮埃尔·奥古斯特·雷诺阿	Pierre-Auguste Renoir
E·W·戴克斯特拉	Edsger W. Dijkstra
威廉·莫里斯	William Morris
乔治·贝克莱	George Berkeley
阿尔贝·加缪	Albert Camus
苏西洛·班邦·尤多约诺	Susilo Bambang Yudhoyono
约翰尼·凯利(马拉松运动员)	Johnny Kelley
梅加瓦蒂·苏加诺普特丽	Megawati Sukarnoputri
约瑟夫·傅里叶	Joseph Fourier
温斯顿·邱吉尔	Winston Churchill
雅克·希拉克	Jacques Chirac
马克西米连·罗伯斯庇尔	Maximilien de Robespierre
让·奥古斯特·多米尼克·安格尔	Jean Auguste Dominique Ingres
克里斯托弗·里夫	Christopher Reeve
雅克-路易·大卫	Jacques-Louis David
鲁道夫·卡尔纳普	Rudolf Carnap
诺罗敦·西哈莫尼	Norodom Sihamoni
胡安·卡洛斯	Juan Carlos I of Spain
马塞尔·普魯斯特	Marcel Proust
约翰·罗杰斯·希尔勒	John Searle
亨利·杜德耐	Henry Dudeney
约翰·希尔勒	John Searle
皮亚特·海恩(數学家)	Piet Hein (Denmark)
威廉·莎士比亞	William Shakespeare
莱昂那得·伯恩斯坦	Leonard Bernstein
约翰·何頓·康威	John Horton Conway
约瑟夫·毕苏斯基	Józef Piłsudski
哈里特·伊丽莎白·比彻·斯托	Harriet Beecher Stowe
理查德·費曼	Richard Feynman
费利克斯·门德尔松·巴托尔迪	Felix Mendelssohn
里纳德·雷根	Ronald Reagan
艾莎道拉·邓肯	Isadora Duncan
马克·维瑟	Mark Weiser
让-多米尼克·鮑比	Jean-Dominique Bauby
尚·多明尼克·鮑比	Jean-Dominique Bauby
尚-多明尼克·鲍比	Jean-Dominique Bauby
雷切尔·卡森	Rachel Carson
卡尔·亚当·佩特里	Carl Adam Petri
萨尔瓦多·达利	Salvador Dalí
约翰·F·肯尼迪	John F. Kennedy
安德鲁·迪克森·怀特	Andrew Dickson White
埃兹拉·康乃尔	Ezra Cornell
詹姆斯·高威	James Galway
阿德鲁·迪克森·怀特	Andrew Dickson White
史提芬·古克	Stephen Cook
肯尼斯·艾佛森	Kenneth E. Iverson
尼克劳斯·维尔特	Niklaus Wirth
马克斯·普朗克協會	Max Planck Society
西蒙·普勞夫	Simon Plouffe
L·罗恩·贺伯特	L. Ron Hubbard
罗恩·哈伯特	L. Ron Hubbard
勒·柯布西耶	Le Corbusier
扎耶德·本·蘇爾坦·阿勒纳哈扬	Zayed bin Sultan Al Nahyan
谢赫·扎耶德	Zayed bin Sultan Al Nahyan
费德里戈·加西亚·洛尔卡	Federico García Lorca
昂利·馬伯樂	Henri Maspero
尼古拉·齊奧塞斯庫	Nicolae Ceaușescu
拉尔夫·纳德	Ralph Nader
索伦·奧貝·克爾凱郭爾	Søren Kierkegaard
默里·盖尔曼	Murray Gell-Mann
理查·泰勒(數学家)	Richard Taylor (mathematician)
理查·泰勒	Richard Taylor
冯·诺依曼体系	Von Neumann architecture
诺克·耐維斯號	Seawise Giant
皮埃尔·德·費馬	Pierre de Fermat
尼尔·斯洛恩	Neil Sloane
休伊·皮尔斯·朗	Huey Long
沃尔特·格羅佩斯	Walter Gropius
亚瑟·阿拉法特	Yasser Arafat
格奥尔格·威廉·斯特勒	Georg Wilhelm Steller
居斯塔夫·库尔贝	Gustave Courbet
艾尔伯特·爱因斯坦	Albert Einstein
爱尔伯特·爱因斯坦	Albert Einstein
詹姆斯·庫克	James Cook
詹姆斯·库克	James Cook
约翰·甘迺迪	John F. Kennedy
埃姆林·休斯	Emlyn Hughes
让-弗朗索瓦·商博良	Jean-François Champollion
伊曼努尔·康得	Immanuel Kant
皮埃尔·西蒙·拉普拉斯	Pierre-Simon Laplace
帕西瓦尔·羅威爾	Percival Lowell
亨利·莫塞莱	Henry Moseley
荷南·科爾蒂斯	Hernán Cortés
黑尔南·科尔特斯	Hernán Cortés
西蒙·波娃	Simone de Beauvoir
法兰西斯·德瑞克	Francis Drake
库尔特·冯内古特	Kurt Vonnegut
伍迪·艾倫	Woody Allen
鲁迪·朱利安尼	Rudy Giuliani
艾维斯·皮禮士利	Elvis Presley
达斯汀·霍夫曼	Dustin Hoffman
乔治·弗里德里希·亨德尔	George Frideric Handel
法兰兹·约瑟夫·海顿	Joseph Haydn
约翰·菲茨杰拉德·肯尼迪	John F. Kennedy
汉斯·克里斯蒂安·安徒生	Hans Christian Andersen
弗朗西斯·德雷克	Francis Drake
爱德华·吉本	Edward Gibbon
艾尔维斯·普莱斯利	Elvis Presley
弗兰克·德瑞克	Francis Drake
斐迪南·麥哲倫	Ferdinand Magellan
迪奥斯达多·马卡帕加尔	Diosdado Macapagal
莱纳斯·鮑林	Linus Pauling
索伦·阿拜·祁克果	Søren Kierkegaard
维克拉姆·塞斯	Vikram Seth
圣地亚哥·拉蒙-卡哈尔	Santiago Ramón y Cajal
安朵涅特·佩里	Antoinette Perry
唐纳德·巴塞尔姆	Donald Barthelme
大卫·希尔伯特	David Hilbert
约翰·康斯特勃	John Constable
亚历山大·拉古林	Alexander Ragulin
伯恩·安德森	Björn Andrésen
让-弗朗索瓦·米勒	Jean-François Millet
让-弗朗索瓦·米叶	Jean-François Millet
英格玛·伯格曼	Ingmar Bergman
威廉姆·莱恩·麦肯西	William Lyon Mackenzie
马克·吐溫	Mark Twain
克里斯蒂安·克蘭普	Christian Kramp
威廉·馮特	Wilhelm Wundt
尼古拉·普桑	Nicolas Poussin
路易斯-约瑟夫·帕皮诺	Louis-Joseph Papineau
克林·鲍威尔	Colin Powell
马克斯·冯·劳厄	Max von Laue
让-巴普蒂斯特·吕利	Jean-Baptiste Lully
拉扎鲁·路德维克·柴门霍夫	L. L. Zamenhof
麦可·康寧漢	Michael Cunningham
麦克尔·坎宁安	Michael Cunningham
弗朗索瓦·布歇	François Boucher
莱昂哈德·歐拉	Leonhard Euler
保罗·赫爾曼·穆勒	Paul Hermann Müller
阿尔布雷希特·科塞尔	Albrecht Kossel
海勒姆·马克沁	Hiram Stevens Maxim
让·弗朗索瓦·米叶	Jean-François Millet
让-巴蒂斯·卡米耶·柯洛	Jean-Baptiste-Camille Corot
让·巴蒂斯·卡米尔·柯罗	Jean-Baptiste-Camille Corot
特雷西·麦格雷迪	Tracy McGrady
艾哈迈德·舒凯里	Ahmad Shukeiri
杰佛瑞·迪佛	Jeffery Deaver
奥古斯托·皮诺切特	Augusto Pinochet
卢菲特·澤德	Lotfi A. Zadeh
理查德·费曼	Richard Feynman
亨利·庞加莱	Henri Poincaré
西蒙·玻利瓦尔	Simón Bolívar
妮可·基嫚	Nicole Kidman
乔托·迪·邦多納	Giotto
蕾妮·齐薇格	Renée Zellweger
萨尔瓦多·阿连德	Salvador Allende
保罗·皮埃爾·萊維	Paul Pierre Lévy
保罗·埃尔德什	Paul Erdős
拉斐尔·德爾列戈	Rafael del Riego
汤姆·汉克斯	Tom Hanks
卡尔·A·佩特里	Carl Adam Petri
马丁·梅森	Marin Mersenne
弗雷德里克·班廷	Frederick Banting
泰奥多尔·盧梭	Théodore Rousseau
皮埃尔·埃提昂·蒂奥多·卢梭	Théodore Rousseau
莱奥波尔多·加尔铁里	Leopoldo Galtieri
罗宾·米尔纳	Robin Milner
肖恩·海斯	Sean Hayes (actor)
约瑟夫·汤姆孙	J. J. Thomson
奥古斯特·德沃夏克	August Dvorak
安德鲁·魏斯	Andrew Wyeth
安德鲁·奈维尔·维斯	Andrew Wyeth
史考特·費茲傑羅	F. Scott Fitzgerald
史蒂芬·金	Stephen King
奥古斯特·雷诺阿	Pierre-Auguste Renoir
鲁迪·朱利亚尼	Rudy Giuliani
瓦西里·康定斯基	Wassily Kandinsky
艾恩·史都華	Ian Stewart (mathematician)
艾德·蓋恩	Ed Gein
胡安·裴隆	Juan Perón
伊莎贝尔·裴隆	Isabel Martínez de Perón
胡安·庇隆	Juan Perón
阿尔韦托·藤森	Alberto Fujimori
约翰·列侬	John Lennon
约翰·列农	John Lennon
佩德罗·菲格雷多	Perucho Figueredo
马丁·福勒	Martin Fowler
沃德·坎宁安	Ward Cunningham
珍·奧斯汀	Jane Austen
罗伯·威爾森	Robert Wilson (director)
艾米里·加利	Émile Gallé
康多莉扎·赖斯	Condoleezza Rice
芙烈达·卡蘿	Frida Kahlo
弗里达·卡罗	Frida Kahlo
罗杰·安川	Roger Yasukawa
威廉·詹姆斯	William James
尼古拉·布尔巴基	Nicolas Bourbaki
希蒙·佩雷斯	Shimon Peres
维克多·安德烈耶維奇·尤先科	Viktor Yushchenko
约瑟夫·史達林	Joseph Stalin
里昂·托洛斯基	Leon Trotsky
费尔南多·波因	Fernando Poe, Jr.
维克多·費奧多羅維奇·亞努科維奇	Viktor Yanukovych
卢基乌斯·科尔内利乌斯·苏拉	Lucius Cornelius Sulla
格里戈里·佩雷尔曼	Grigori Perelman
胡安·巴布羅·蒙托亞	Juan Pablo Montoya
亨利·彭加勒	Henri Poincaré
史蒂芬·史匹柏	Steven Spielberg
维弗雷多·帕累托	Vilfredo Pareto
威廉·格林	Wilhelm Grimm
雅各布·格林	Jacob Grimm
乔治·雅克·丹敦	Georges Danton
狄伊·哈克	Dee Hock
法兰西斯克·皮澤洛	Francisco Pizarro
迈克尔·舒馬赫	Michael Schumacher
沃纳·福斯曼	Werner Forssmann
海伦·凯勒	Helen Keller
凯丝·萊克斯	Kathy Reichs
大卫·庫塔(賽车手)	David Coulthard
哈瑞·杜魯門	Harry S. Truman
雷纳塔·泰巴尔迪	Renata Tebaldi
纳森·羅森	Nathan Rosen
欧内斯特·卢瑟福	Ernest Rutherford
瓦尔特·格罗皮乌斯	Walter Gropius
罗伯特·斯坦恩	Robert A. M. Stern
约翰内斯·谷登堡	Johannes Gutenberg
让·雅克·卢梭	Jean-Jacques Rousseau
莱夫·埃里克松	Leif Ericson
埃德加·爱伦·坡	Edgar Allan Poe
布莱德·確斯	Brad Cox
恩斯特·恩格尔	Ernst Engel
安塞尔·亚当斯	Ansel Adams
库尔特·图霍夫斯基	Kurt Tucholsky
珀尔·赛登斯特里克·布克	Pearl S. Buck
保罗·哈爾莫斯	Paul Halmos
托尼·布詹	Tony Buzan
托尼·巴赞	Tony Buzan
米可斯·拉茲柯維奇	Miklós Laczkovich
卡尔娄·武爾班尼	Carlo Urbani
法兰茨·卡夫卡	Franz Kafka
戈洛·曼	Golo Mann
弗兰兹·卡夫卡	Franz Kafka
阿尔弗莱德·维尔	Alfred Vail
艾尔菲德·维尔	Alfred Vail
哈菲佐拉·阿明	Hafizullah Amin
伊迪·阿敏	Idi Amin
伊迪·阿明	Idi Amin
赛斯·尼克尔森	Seth Barnes Nicholson
苏珊·桑塔格	Susan Sontag
维克托·亚努科维奇	Viktor Yanukovych
伊扎克·拉宾	Yitzhak Rabin
约翰·華特·古格里	John Walter Gregory
亨利克·易卜生	Henrik Ibsen
乔治·奥威尔	George Orwell
卡尔·蔡司	Carl Zeiss
孟克·巴特尔	Mengke Bateer
爱德华·蒙克	Edvard Munch
托马斯·斯特恩斯·艾略特	T. S. Eliot
威廉·亞當斯	William Adams (sailor)
法兰西斯·福山	Francis Fukuyama
埃尔维斯·普莱斯利	Elvis Presley
玛莉亚·凯丽	Mariah Carey
西里尔·诺曼·欣谢尔伍德	Cyril Norman Hinshelwood
尼科莱·尼古拉耶维奇·谢苗诺夫	Nikolay Semyonov
莱纳斯·鲍林	Linus Pauling
西美昂·萨克森-科堡-哥达斯基	Simeon Saxe-Coburg-Gotha
约翰·霍普金斯大学	Johns Hopkins University
加布里尔·克拉默	Gabriel Cramer
保罗·科爾賀	Paulo Coelho
爱德华·孟克	Edvard Munch
保罗·科埃略	Paulo Coelho
卡美尔·毕沙罗	Camille Pissarro
伊万·尼雲	Ivan M. Niven
卡尔·魏尔斯特拉斯	Karl Weierstrass
乔治·傑生	Georg Jensen
罗纳德·雷根	Ronald Reagan
马默德·阿巴斯	Mahmoud Abbas
爱德华·卢卡斯	Édouard Lucas
卡尔·波普尔	Karl Popper
休伊·龙	Huey Long
大卫·奥格威	David Ogilvy (businessman)
保罗·维特根斯坦	Paul Wittgenstein
迈克尔·乔丹	Michael Jordan
腓特烈·威廉二世	Frederick William II of Prussia
腓特烈·威廉一世	Frederick William I of Prussia
阪神·淡路大震灾	Great Hanshin earthquake
祖安·巴勃羅·蒙托亞	Juan Pablo Montoya
鲁本斯·巴里切羅	Rubens Barrichello
巴勃罗·埃斯科瓦爾	Pablo Escobar
安东尼·戴維森	Anthony Davidson
爱德华·齊肯多夫	Edouard Zeckendorf
卡罗尔·林奈	Carl Linnaeus
列夫·托尔斯泰	Leo Tolstoy
列夫·尼古拉耶维奇·托尔斯泰	Leo Tolstoy
菲利普·史密斯	Phillip Hagar Smith
第谷·布拉赫	Tycho Brahe
艾力·新關	Eric Shinseki
弗朗切斯科·彼特拉克	Petrarch
路德维希·玻尔兹曼	Ludwig Boltzmann
列夫·朗道	Lev Landau
埃尔温·薛定谔	Erwin Schrödinger
克里斯托佛·亚历山大	Christopher Alexander
乔治·奧威爾	George Orwell
蒙娜·丽莎	Mona Lisa
乔治·布尔	George Boole
约阿希姆·冯·里宾特洛甫	Joachim von Ribbentrop
詹姆斯·查德威克	James Chadwick
安托万·德圣埃克絮佩里	Antoine de Saint-Exupéry
大卫·休谟	David Hume
尼尔斯·阿贝尔	Niels Henrik Abel
史蒂夫·傑克遜(美国)	Steve Jackson (US game designer)
史蒂夫·傑克遜遊戲	Steve Jackson Games
尼尔斯·亨利克·阿贝尔	Niels Henrik Abel
卡尔·弗雷德里克·高斯	Carl Friedrich Gauss
G·W·莱布尼茨	Gottfried Wilhelm Leibniz
K·哥德尔	Kurt Gödel
乔治·康托尔	Georg Cantor
欧麦尔·本·赫塔卜	Umar
艾蒂安·贝祖	Étienne Bézout
约翰尼·卡森	Johnny Carson
威廉·贝弗里奇	William Beveridge
格雷格·柯斯特恩	Greg Costikyan
亨利希·海涅	Heinrich Heine
雅瑟尔·阿拉法特	Yasser Arafat
詹姆士·查德威克	James Chadwick
古斯塔夫·馬勒	Gustav Mahler
费尔南多·麦哲伦	Ferdinand Magellan
柯南·道爾	Arthur Conan Doyle
歇洛克·福爾摩斯	Sherlock Holmes
阿嘉莎·克莉絲蒂	Agatha Christie
爱德华·艾伦·坡	Edgar Allan Poe
亚美利哥·韦斯普奇	Amerigo Vespucci
雅克·德里达	Jacques Derrida
安朵涅·特佩里	Antoinette Perry
本·拉登	Osama bin Laden
安迪·沃荷	Andy Warhol
乔斯坦·賈德	Jostein Gaarder
布莱姆·科亨	Bram Cohen
浩林·潮尔	Tuvan throat singing
莫那·魯道	Mona Rudao
布里根姆·扬	Brigham Young
安瑟·亞當斯	Ansel Adams
布莱姆·可亨	Bram Cohen
杰克森·波拉克	Jackson Pollock
约翰·列儂	John Lennon
约翰·列農	John Lennon
麦克尔·乔丹	Michael Jordan
詹姆士·卡倫	James Cullen (mathematician)
查理兹·塞隆	Charlize Theron
弗雷迪·默丘里	Freddie Mercury
弗雷迪·墨丘利	Freddie Mercury
索菲·熱爾曼	Sophie Germain
罗伯特·沃波尔	Robert Walpole
哈莉·貝瑞	Halle Berry
茱莉娅·罗伯茨	Julia Roberts
哈莉·瑪利亞·貝瑞	Halle Berry
安·沙利文	Anne Sullivan
詹姆士·卡倫(數学家)	James Cullen (mathematician)
伊戈尔·费奥多罗维奇·斯特拉文斯基	Igor Stravinsky
艾伦·艾佛森	Allen Iverson
拉斐尔·桑乔	Raphael
托马斯·闵采尔	Thomas Müntzer
梅丽·史翠普	Meryl Streep
阿赫麦德·库赖	Ahmed Qurei
加夫列尔·加西亚·马尔克斯	Gabriel García Márquez
本华·曼德博	Benoit Mandelbrot
希拉里·斯旺克	Hilary Swank
海尔·马里亚姆·门格斯图	Mengistu Haile Mariam
贾南德拉·比尔·比克拉姆·沙阿	Gyanendra of Nepal
贾南德拉·比尔·比克拉姆·沙阿·德瓦	Gyanendra of Nepal
特奥巴登·冯·贝特曼·霍尔维格	Theobald von Bethmann-Hollweg
维利·勃兰特	Willy Brandt
伯恩哈德·冯·比洛	Bernhard von Bülow
哈米德·卡尔扎伊	Hamid Karzai
雷内·馬格利特	René Magritte
格温妮丝·帕特罗	Gwyneth Paltrow
格温尼丝·帕特罗	Gwyneth Paltrow
列耐·马格利特	René Magritte
妮歌·潔曼	Nicole Kidman
茱莉亚·羅拔絲	Julia Roberts
查理·喬治·戈登	Charles George Gordon
祖拉布·日瓦尼亚	Zurab Zhvania
玛丽·雪莱	Mary Shelley
圣若望·鮑思高	John Bosco
克里斯多福·哥倫布	Christopher Columbus
彼得·傑克森	Peter Jackson
彼德·積遜	Peter Jackson
帕布罗·畢卡索	Pablo Picasso
妮可·基德曼	Nicole Kidman
阿德里安-马里·勒让德	Adrien-Marie Legendre
安吉丽娜·朱莉	Angelina Jolie
冯·施托伊本將軍號	SS General von Steuben
安洁莉娜·裘莉	Angelina Jolie
约翰·詹姆斯·奥杜邦	John James Audubon
纳辛贝·埃亚德马	Gnassingbé Eyadéma
葛妮丝·派特羅	Gwyneth Paltrow
约翰·古騰堡	Johannes Gutenberg
柯利弗德·皮寇弗	Clifford A. Pickover
埃米尔·博雷尔	Émile Borel
安德雷·柯爾莫哥洛夫	Andrey Kolmogorov
约翰·查爾斯·菲爾茲	John Charles Fields
恩斯特·托勒爾	Ernst Toller
费利克斯·豪斯多夫	Felix Hausdorff
G·賈西亞·馬奎斯	Gabriel García Márquez
温斯顿·邱吉爾	Winston Churchill
约翰·何華德	John Howard
福雷·纳辛贝	Faure Gnassingbé
路德维布·维特根斯坦	Ludwig Wittgenstein
史提夫·喬布斯	Steve Jobs
斯蒂芬·霍金	Stephen Hawking
雷切尔·卡尔逊	Rachel Carson
乔治·格林	George Green
基拉·大和	Kira Yamato
爱德文·哈勃	Edwin Hubble
斯蒂芬·斯梅爾	Stephen Smale
强纳生·威德	Jonathan Wild
卡莉·費奧麗娜	Carly Fiorina
安德鲁·懷爾斯	Andrew Wiles
法兰索瓦·杜魯福	François Truffaut
查尔斯·菲利普·阿瑟·乔治	Charles, Prince of Wales
弗兰克·赫伯特	Frank Herbert
玛乔里·賴斯	Marjorie Rice
让-皮埃尔·里奧	Jean-Pierre Léaud
卡尔·冯·克劳塞维茨	Carl von Clausewitz
阿尔弗雷德·赛耶·马汉	Alfred Thayer Mahan
戴安娜·史賓莎	Diana, Princess of Wales
安德雷·马尔可夫	Andrey Markov
卡西米尔·冯克	Casimir Funk
厄恩斯特·多伊奇	Ernst Deutsch
赫丘勒·白羅	Hercule Poirot
亚瑟·米勒	Arthur Miller
克里斯蒂安·艾克曼	Christiaan Eijkman
米哈伊尔·马尔科维奇·鲍罗廷	Mikhail Borodin
亚瑟·艾許·米勒	Arthur Miller
詹卡洛·费斯切拉	Giancarlo Fisichella
理查德·施特劳斯	Richard Strauss
米哈伊尔·希什曼	Michael Shishman of Bulgaria
尚卡罗·費希切拉	Giancarlo Fisichella
雅诺·特鲁利	Jarno Trulli
亚诺·楚理	Jarno Trulli
詹姆斯·林德	James Lind
大卫·史提芬遜(天文学家)	David J. Stevenson
大卫·史提芬遜(設计师)	David Stevenson (engineer)
约翰·杜威	John Dewey
拉菲克·哈里里	Rafic Hariri
胡安·巴勃羅·蒙托亞	Juan Pablo Montoya
海伦·亨特	Helen Hunt
乔尔乔·瓦萨里	Giorgio Vasari
卡尔·荣格	Carl Jung
佛拉多·巴金斯	Frodo Baggins
伯恩哈尔·阿爾普·辛德貝格	Bernhard Arp Sindberg
约翰·拉贝	John Rabe
约翰·马吉	John Magee (missionary)
乔治·沃尔德	George Wald
卡尔·羅哲斯	Carl Rogers
路易吉·诺诺	Luigi Nono
雅克·维伦纽夫	Jacques Villeneuve
杰克·維倫紐夫	Jacques Villeneuve
卡尔·车尔尼	Carl Czerny
永远的南京·辛德贝格黄玫瑰	Bernhard Arp Sindberg
安东·韦伯恩	Anton Webern
豪尔赫·拉斐尔·魏地拉	Jorge Rafael Videla
格里高利·派克	Gregory Peck
埃德温·哈勃	Edwin Hubble
米哈伊尔·普雷特涅夫	Mikhail Pletnev
雅各布·乔登斯	Jacob Jordaens
爱德华·德·波諾	Edward de Bono
米尔顿·巴比特	Milton Babbitt
玛丽·葛德文	Mary Shelley
沃伦·G·哈定	Warren G. Harding
保罗·科而贺	Paulo Coelho
路易斯·乔治·亚历山大	Louis George Alexander
约翰·狄克森·卡爾	John Dickson Carr
亨利·尹約基	Henry Wanyoike
伟恩·第伯	Wayne Thiebaud
摩根·史柏路克	Morgan Spurlock
让-保尔·马拉	Jean-Paul Marat
卢奇亚诺·帕瓦罗蒂	Luciano Pavarotti
凯斯·哈林	Keith Haring
大卫·卡拉卡瓦	Kalākaua
约翰·彼得·古斯塔夫·勒热纳·狄利克雷	Johann Peter Gustav Lejeune Dirichlet
麦尔威·杜威	Melvil Dewey
彼得·本南森	Peter Benenson
彼得·本嫩森	Peter Benenson
拉吉夫·甘地	Rajiv Gandhi
米哈伊尔·巴赫汀	Mikhail Bakhtin
约瑟芬·德博阿尔内	Joséphine de Beauharnais
戈弗雷·哈罗德·哈代	G. H. Hardy
约瑟夫·熊彼特	Joseph Schumpeter
卡尔·貝姆	Karl Böhm
奥黛莉·朵杜	Audrey Tautou
马里奥·卢齐	Mario Luzi
爱德华·梅特蘭·賴特	E. M. Wright
小罗伯特·卢卡斯	Robert Lucas, Jr.
吉米·威爾斯	Jimmy Wales
菲利普·科特勒	Philip Kotler
叶米里扬·普加乔夫	Yemelyan Pugachev
达·芬奇密码	The Da Vinci Code
里努斯·米歇尔斯	Rinus Michels
伍德罗·威爾遜	Woodrow Wilson
哈罗德·威尔逊	Harold Wilson
丹尼斯·雷德	Dennis Rader
哈莉·贝瑞	Halle Berry
伊哈布·哈桑	Ihab Hassan
乔·戴维斯	Joe Davis
威廉·杰斐逊·克林顿	Bill Clinton
亚历山大·格罗滕迪克	Alexander Grothendieck
赖因哈德·泽尔腾	Reinhard Selten
波尔·安德森	Poul Anderson
费尔南多·阿隆索	Fernando Alonso
